"subject area","abbreviation","code"
"Accounting and Information Systems","ACCT I S","232"
"Actuarial Science","ACT SCI","242"
"African Cultural Studies","AFRICAN","104"
"Afro-American Studies","AFROAMER","106"
"Agricultural and Applied Economics","A A E","108"
"Agroecology","AGROECOL","130"
"Agronomy","AGRONOMY","132"
"Air Force Aerospace Studies","A F AERO","102"
"American Indian Studies","AMER IND","140"
"Anatomy","ANATOMY","144"
"Anatomy & Physiology","ANAT&PHY","146"
"Anesthesiology","ANESTHES","148"
"Animal Sciences","AN SCI","604"
"Anthropology","ANTHRO","156"
"Applied Biotechnology","ABT","160"
"Art Department","ART","168"
"Art Education (Department of Art)","ART ED","176"
"Art History","ART HIST","180"
"Asian American Studies","ASIAN AM","184"
"Asian Languages and Cultures","ASIAN","185"
"Asian Languages and Cultures: Languages","ASIALANG","186"
"Astronomy","ASTRON","188"
"Atmospheric and Oceanic Sciences","ATM OCN","640"
"Biochemistry","BIOCHEM","200"
"Biological Systems Engineering","BSE","112"
"Biology","BIOLOGY","205"
"Biology Core Curriculum","BIOCORE","206"
"Biomedical Engineering","B M E","207"
"Biomolecular Chemistry","BMOLCHEM","758"
"Biostatistics and Medical Informatics","B M I","210"
"Botany","BOTANY","208"
"Cell and Regenerative Biology","CRB","217"
"Chemical and Biological Engineering","CBE","220"
"Chemistry","CHEM","224"
"Chicana/o and Latina/o Studies","CHICLA","228"
"Civil and Environmental Engineering","CIV ENGR","240"
"Civil Society and Community Studies","CSCS","247"
"Classics","CLASSICS","244"
"Collaborative Nursing Program","CNP","691"
"Communication Arts","COM ARTS","250"
"Communication Sciences and Disorders","CS&D","252"
"Community and Environmental Sociology","C&E SOC","864"
"Comparative Biosciences","COMP BIO","934"
"Comparative Literature","COMP LIT","260"
"Computer Sciences","COMP SCI","266"
"Consumer Science","CNSR SCI","271"
"Counseling Psychology","COUN PSY","270"
"Curriculum and Instruction","CURRIC","272"
"Dairy Science","DY SCI","292"
"Dance","DANCE","741"
"Dermatology","DERM","229"
"Design Studies","DS","359"
"East Asian Area Studies","E A STDS","298"
"East Asian Languages and Literature","E ASIAN","295"
"Economics","ECON","296"
"Educational Leadership and Policy Analysis","ELPA","305"
"Educational Policy Studies","ED POL","310"
"Educational Psychology","ED PSYCH","315"
"Electrical and Computer Engineering","E C E","320"
"Emergency Medicine","EMER MED","330"
"Engineering Mechanics and Astronautics","E M A","346"
"Engineering Physics","E P","347"
"Engineering Professional Development","E P D","348"
"English","ENGL","352"
"English as a Second Language","ESL","351"
"Entomology","ENTOM","355"
"Environmental Studies - Gaylord Nelson Institute","ENVIR ST","360"
"Family Medicine","FAM MED","370"
"Farm & Industry Short Course","FISC","375"
"Finance, Investment and Banking","FINANCE","233"
"Folklore Program","FOLKLORE","380"
"Food Science","FOOD SCI","390"
"Forest and Wildlife Ecology","F&W ECOL","396"
"French (French and Italian)","FRENCH","400"
"Gender and Womenâ€™s Studies","GEN&WS","963"
"General Business","GEN BUS","231"
"Genetics","GENETICS","412"
"Geography","GEOG","416"
"Geological Engineering","G L E","418"
"Geoscience","GEOSCI","420"
"German","GERMAN","424"
"German, Nordic, and Slavic","GNS","425"
"Greek (Classics)","GREEK","428"
"Hebrew-Biblical","HEBR-BIB","441"
"Hebrew-Modern","HEBR-MOD","442"
"History","HISTORY","448"
"History of Science","HIST SCI","456"
"Horticulture","HORT","476"
"Human Development and Family Studies","HDFS","230"
"Human Oncology","H ONCOL","480"
"Industrial and Systems Engineering","I SY E","490"
"Information Systems","INFO SYS","234"
"Integrated Arts","INTEGART","495"
"Integrated Liberal Studies","ILS","500"
"Integrated Science","INTEGSCI","503"
"Interdisciplinary Courses (CALS)","INTER-AG","494"
"Interdisciplinary Courses (Engineering)","INTEREGR","496"
"Interdisciplinary Courses (L&S)","INTER-LS","502"
"Interdisciplinary Courses (SOHE)","INTER-HE","498"
"International Academic Programs - Study Abroad","STDYABRD","SAB"
"International Business","INTL BUS","235"
"International Studies","INTL ST","504"
"Italian (French and Italian)","ITALIAN","508"
"Jewish Studies","JEWISH","510"
"Journalism and Mass Communication","JOURN","512"
"Kinesiology","KINES","742"
"La Follette School of Public Affairs","PUB AFFR","826"
"Landscape Architecture","LAND ARC","520"
"Languages and Cultures of Asia","LCA","521"
"Languages and Cultures of Asia - Languages","LCA LANG","522"
"Latin (Classics)","LATIN","524"
"Latin American, Caribbean, and Iberian Studies","LACIS","525"
"Law","LAW","528"
"Legal Studies","LEGAL ST","535"
"Library and Information Studies","L I S","544"
"Life Sciences Communication","LSC","120"
"Linguistics","LINGUIS","550"
"Literature in Translation","LITTRANS","551"
"Management and Human Resources","M H R","236"
"Marketing","MARKETNG","237"
"Materials Science and Engineering","M S & E","636"
"Mathematics","MATH","600"
"Mechanical Engineering","M E","612"
"Medical Genetics","MD GENET","616"
"Medical History and Bioethics","MED HIST","452"
"Medical Microbiology and Immunology","M M & I","620"
"Medical Physics","MED PHYS","621"
"Medical Sciences - Medical School","MED SC-M","622"
"Medical Sciences - Veterinary Medicine","MED SC-V","623"
"Medicine","MEDICINE","632"
"Medieval Studies","MEDIEVAL","633"
"Microbiology","MICROBIO","192"
"Military Science","MIL SCI","644"
"Molecular and Environmental Toxicology","M&ENVTOX","362"
"Molecular Biology","MOL BIOL","650"
"Music","MUSIC","660"
"Music-Performance","MUS PERF","664"
"Naval Science","NAV SCI","672"
"Neurological Surgery","NEURSURG","678"
"Neurology","NEUROL","676"
"Neuroscience","NEURODPT","681"
"Neuroscience Training Program","NTP","682"
"Nuclear Engineering","N E","684"
"Nursing","NURSING","692"
"Nutritional Sciences","NUTR SCI","694"
"Obstetrics and Gynecology","OBS&GYN","436"
"Occupational Therapy (Department of Kinesiology)","OCC THER","695"
"Oncology","ONCOLOGY","700"
"Operations and Technology Management","OTM","238"
"Ophthalmology and Visual Sciences","OPHTHALM","702"
"Patho-Biological Sciences","PATH-BIO","703"
"Pathology and Laboratory Medicine","PATH","704"
"Pediatrics","PEDIAT","708"
"Pharmaceutical Sciences","PHM SCI","718"
"Pharmacology","PHMCOL-M","724"
"Pharmacy","PHARMACY","726"
"Pharmacy Practice","PHM PRAC","728"
"Philosophy","PHILOS","736"
"Physical Therapy","PHY THER","745"
"Physician Assistant Program","PHY ASST","750"
"Physics","PHYSICS","754"
"Physiology","PHYSIOL","762"
"Plant Pathology","PL PATH","766"
"Political Science","POLI SCI","778"
"Population Health Sciences","POP HLTH","810"
"Portuguese (Spanish and Portuguese)","PORTUG","782"
"Psychiatry","PSYCHIAT","814"
"Psychology","PSYCH","820"
"Public Health","PUBLHLTH","828"
"Radiology","RADIOL","832"
"Real Estate and Urban Land Economics","REAL EST","239"
"Registrar-Administrative Use","AdminUse","ZZZ"
"Rehabilitation Medicine","RHAB MED","840"
"Rehabilitation Psychology and Special Education","RP & SE","194"
"Religious Studies","RELIG ST","856"
"Risk Management and Insurance","R M I","241"
"Scandinavian Studies","SCAND ST","872"
"Science and Technology Studies","STS","875"
"Senior Medical Program","SR MED","882"
"Slavic (Slavic Languages)","SLAVIC","888"
"Social and Administrative Pharmacy","S&A PHM","732"
"Social Work","SOC WORK","896"
"Sociology","SOC","900"
"Soil Science","SOIL SCI","908"
"Spanish (Spanish and Portuguese)","SPANISH","912"
"Statistics","STAT","932"
"Surgery","SURGERY","936"
"Surgical Sciences","SURG SCI","938"
"Theatre and Drama","THEATRE","942"
"Urban and Regional Planning","URB R PL","944"
"Zoology","ZOOLOGY","970"